image_filename,ingredients,directions,category_url,title,category,rating,rating_count,cook_time,total_time,yield,servings,calories,fat,carbs,protein,verb_count,ingredient_count,yield_servings_merge,like_or_dislike
5410153-e9807f995fb74fe58bd2fcd56b541010.jpg,"['1 pound lean ground beef', '2 tablespoons dried minced onion', '1 (12 ounce) bottle chili sauce (such as Heinz®)', '2 ½ tablespoons brown sugar', '1 tablespoon water, or as needed', '½ cup salted butter, softened, or as needed', '16 slices bread', '16 slices American cheese']","['Heat a large skillet over medium-high heat. Cook and stir ground beef and minced in the hot skillet until browned and crumbly, 5 to 7 minutes.', 'Add chili sauce and brown sugar. Rinse chili sauce jar with water to get the remnants of the sauce; add to the beef mixture. Stir, reduce heat, and simmer for 10 to 15 minutes. Remove from the heat.', 'Butter one side of 2 slices of bread. Place one slice, butter-side down, in a new skillet over medium heat. Layer with 1 slice of American cheese, a scoop of Sloppy Joe mixture, another slice of cheese, and the second piece of bread, butter-side up. Cook until sandwich is browned on the bottom and the bottom slice of cheese is melted, 3 to 5 minutes. Flip sandwich over and repeat on the other side. Repeat to assemble and cook remaining sandwiches.']",https://www.allrecipes.com/recipes/14930/main-dish/sandwiches/sloppy-joes/,Grilled Cheese Sloppy Joes,Sloppy Joes,4.8,4,1 hr,1 hr 10 mins,8 sandwiches,8,585,39g,32g,27g,13,8,8,1.0
1059053-70a5c73ef725427e9770ad083c423e87.jpg,"['1 cup butter', '1 cup packed brown sugar', '1 cup white sugar', '4  eggs', '2 teaspoons vanilla extract', '1 ½ cups all-purpose flour', '1 teaspoon baking powder', '½ teaspoon salt', '2 cups peeled and finely shredded yam', ""1 cup confectioners' sugar"", '2 tablespoons butter or margarine', '2 tablespoons milk']","['Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking dish.', 'In a large bowl, cream together the butter, brown sugar, and white sugar until smooth. Beat in the eggs one at a time, then stir in the vanilla. Combine the flour, baking powder, and salt; stir into the batter just until blended. Fold in the shredded yam. Spread the batter evenly in the greased baking dish.', ""Bake for 30 minutes in the preheated oven, until a toothpick inserted into the center, comes out clean. Mix together the confectioners' sugar, butter and milk until smooth. Spread over the brownies while they are still warm. They will absorb some of the glaze. Serve hot or warm.""]",https://www.allrecipes.com/recipes/2452/fruits-and-vegetables/vegetables/yams/,Golden Yam Brownies,Yams,4.5,497,30 mins,1 hr,24 servings,24,221,10g,32g,2g,11,12,24,1.0
9281485-authentic-mexican-corn-bread-Lisa-Lodermeier-4x3-1-1a3f416bc27d475a93810ec146b95776.jpg,"['1 (14 ounce) can sweetened condensed milk (such as La Lechera®)', '½ cup white sugar (Optional)', '5  large eggs', '2 teaspoons vanilla extract', '2 (15.25 ounce) cans whole kernel corn, drained and rinsed', '1 (15 ounce) can cream-style corn', '½ cup butter, melted', '2 ½ cups cornmeal', '½ cup all-purpose flour', '1 tablespoon baking soda', '1 teaspoon salt']","['Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 2-quart baking dish.', 'Whisk sweetened condensed milk and sugar together in a large bowl. Whisk in eggs, and vanilla. Stir in whole kernel corn, cream-style corn, and butter.', 'Whisk cornmeal, flour, baking soda, and salt in a separate bowl; stir cornmeal mixture into the corn mixture.', 'Pour batter into the prepared baking dish.', 'Bake until a toothpick inserted into the center of the cornbread comes out clean, about 45 minutes. Serve warm.']",https://www.allrecipes.com/recipes/342/bread/quick-bread/cornbread/,Authentic Mexican Corn Bread,Cornbread,4.3,50,45 mins,1 hr,1 pan cornbread,12,448,14g,74g,11g,9,11,12,1.0
5683850-2c7cb5085e914504a3727673a6e891ef.jpg,"['cooking spray', '½ cup milk', '½ cup all-purpose flour', '2  eggs, lightly beaten', '¼ teaspoon salt', '2 tablespoons butter, cut into 6 pieces', '½ cup grated sharp Cheddar cheese', '¼ cup brown sugar', '¼ teaspoon ground nutmeg', '1  pear, thinly sliced']","['Preheat oven to 400 degrees F (200 degrees C). Spray 6 custard cups with cooking spray.', 'Pour milk, flour, eggs, and salt in a bowl. Mix until batter is fully combined.', 'Place a piece of butter in each prepared cup. Sprinkle each cup with Cheddar cheese, brown sugar, and nutmeg; line each evenly with pear slices. Pour batter evenly into the prepared cups.', 'Bake in the preheated oven until golden brown, 15 to 20 minutes.']",https://www.allrecipes.com/recipes/14912/bread/quick-bread/popovers-and-yorkshire-pudding/,Fancy Pear Popovers,Popovers And Yorkshire Pudding,3.8,4,15 mins,40 mins,6 popovers,6,201,10g,23g,7g,3,10,6,1.0
3103210-pan-fried-chinese-pancakes-jessFu-4x3-1-371dd5c4e3ff4cbea21d44bea7e3472f.jpg,"['¼ teaspoon salt', '¾ cup warm water', '1 cup all-purpose flour', '¼ teaspoon vegetable oil (Optional)', '¼ cup all-purpose flour', '1 tablespoon vegetable oil (Optional)', '1 tablespoon Asian (toasted) sesame oil, or as needed', '½ cup finely chopped green onion', '1 tablespoon vegetable oil, or as needed (Optional)']","['Dissolve salt in warm water, and mix in 1 cup of flour to make a soft dough. Turn the dough out onto a well-floured work surface, and knead until slightly springy, about 5 minutes. If the dough is sticky, knead in 1/4 teaspoon of vegetable oil. Divide the dough into 8 equal-size pieces, and keep the pieces covered with a cloth.', 'In a bowl, mix 1/4 cup of flour with 1 tablespoon vegetable oil to make a mixture like fine crumbs.', 'On a floured work surface, roll a piece of dough out into a thin square about 5x7 inches in size, brush the dough with toasted sesame oil, and sprinkle lightly with about 1 1/2 teaspoon of the flour-oil mixture. Sprinkle about 1 tablespoon of chopped green onion onto the dough, and spread the onion out evenly. Starting with a long end, roll the dough up into a rope shape, and pinch the seam and the ends closed. Roll the rope shape into a flat spiral, and press lightly with your hands to compact the spiral and keep it from unrolling.', 'Place the spiral down onto the floured work surface, and gently roll it out into a pancake with the onions folded inside, turning the pancake over often as you roll it out. Roll gently and turn often to avoid making holes in the pancakes. Finished pancakes should be about 5 inches in diameter. Repeat with the rest of the dough pieces, making 8 onion pancakes.', 'Heat a non-stick skillet over medium heat, and brush with vegetable oil. Pan-fry each pancake in the hot skillet until golden brown on both sides, about 5 minutes per side. Cut into wedges and serve warm.']",https://www.allrecipes.com/recipes/17668/holidays-and-events/lunar-new-year/,Pan-Fried Chinese Pancakes,Lunar New Year,3.8,25,40 mins,1 hr 10 mins,8 pancakes,8,120,6g,15g,2g,34,9,8,1.0
8026424-046a14e347a645d2a9a6f1a187b17595.jpg,"['1 pound fresh, ground pork sausage', '1  onion, finely chopped', '1 cup chopped celery', '1  green bell pepper, chopped', '½ cup uncooked long-grain rice', '2 ½ cups hot water', '1 envelope chicken noodle mix -dry', '2 tablespoons sliced almonds']","['Preheat oven to 375 degrees F (190 degrees C).', 'In a Dutch-oven over medium heat, brown the sausage with the onion, celery and bell pepper; drain. Pour in rice, hot water, and soup mix. Stir until any lumps of soup have melted. Top with almonds. Cover and bake in a preheated oven for 1 1/2 hours.']",https://www.allrecipes.com/recipes/1004/main-dish/casseroles/rice/,My Mom's Sausage and Rice Casserole,Rice,4.4,52,1 hr 30 mins,1 hr 55 mins,6 servings,6,414,32g,20g,12g,4,8,6,1.0
3624309-e9bc2972996d41378b31f8cb8d006aec.jpg,"[""9  Hawaiian bread rolls (such as King's®), split"", '1 (12 ounce) can fully cooked luncheon meat, teriyaki flavor (such as SPAM® Teriyaki)', '3  pineapple rings', '3 tablespoons sriracha hot sauce', '1 tablespoon lime juice']","[""Set oven rack about 6 inches from the heat source and preheat the oven's broiler or set a toaster oven to broil setting. Place rolls cut-side up in a single layer on a baking sheet."", 'Toast rolls in preheated oven until lightly brown, 1 to 3 minutes.', 'Slice luncheon meat lengthwise into nine 1/4-inch thick slices.', 'Heat a cast-iron or non-stick skillet over medium-high heat. Cook luncheon meat slices until lightly browned, about 1 minute per side; transfer to toasted roll bottoms. Cook pineapple rings in the same skillet until lightly browned, 1 1/2 to 2 minutes per side.', 'Spread sriracha evenly on each luncheon meat slice. Cut each pineapple ring into 3 pieces. Top each luncheon meat slice with 1 pineapple piece, sprinkle with lime juice, and cover with roll tops.']",https://www.allrecipes.com/recipes/17308/everyday-cooking/more-meal-ideas/mini-foods/main-dishes/sliders/,Spicy Teriyaki Spam® and Pineapple on a Hawaiian Roll,Sliders,5.0,1,6 mins,16 mins,9 sandwiches,9,402,10g,47g,19g,14,5,9,0.0
9418900-3b835184dc124dde9fe59c15f6c99f0f.jpg,"['1 (6 ounce) can crabmeat, drained and flaked', '1 tablespoon sliced green onion', '¼ cup shredded Swiss cheese', '½ cup mayonnaise', '1 teaspoon lemon juice', '¼ teaspoon curry powder', '1 (8 ounce) package dinner rolls', '1 (5 ounce) can water chestnuts, drained and sliced']","['Preheat oven to 400 degrees F (200 degrees C).', 'In a medium bowl, mix together crabmeat, green onion, Swiss cheese, mayonnaise, lemon juice and curry powder.', 'Separate dinner rolls into 3 pieces each. Spoon equal portions of the crabmeat mixture onto the roll pieces. Top with water chestnuts.', 'Bake in the preheated oven 10 to 12 minutes, or until bubbly and golden brown.']",https://www.allrecipes.com/recipes/17807/appetizers-and-snacks/tapas/,Crab Swiss Bites,Tapas,4.1,8,12 mins,22 mins,30 bites,10,114,10g,2g,4g,1,8,10,0.0
1311093-489c6376634c40fa8b4e0bf3ca920176.jpg,"['1 cup rolled oats', '1 cup steel-cut oats', '1 cup crispy rice cereal', '½ cup chopped mixed dried fruit', '½ cup chopped almonds', '¼ cup butter', '½ cup brown sugar', '¼ cup honey', '2 teaspoons vanilla extract', '½ cup mini chocolate chips']","['Grease a 9x13-inch baking dish.', 'Mix rolled oats, steel-cut oats, rice cereal, dried fruit, and almonds together in a large bowl.', 'Melt butter in a saucepan over medium heat; add brown sugar, honey, and vanilla. Whisk until sugar is completely dissolved, about 2 minutes. Pour over oat mixture; stir to combine.', 'Spread oat mixture into the prepared baking dish. Press chocolate chips into the top. Refrigerate until chilled, about 1 hour.', 'Sliced chilled granola mixture into 24 bars.']",https://www.allrecipes.com/recipes/1991/everyday-cooking/on-the-go/road-trip-snacks/,Chewy No-Bake Granola Bars,Road Trip Snacks,4.3,64,5 mins,1 hr 15 mins,2 dozen granola bars,24,119,5g,18g,2g,9,10,24,1.0
8600461-d95612ba846d457d9c2988dcc19a47ef.jpg,"['7 large eggs', '¼ cup heavy cream', '1 teaspoon smoked paprika', 'salt and freshly ground black pepper to taste', '2 tablespoons unsalted butter', '½ cup chopped onion', '1 ½ cups chopped fresh broccoli', '1 cup frozen diced hash brown potatoes, thawed', '1 cup shredded Cheddar cheese', '4 slices bacon, cooked and crumbled']","['Position a rack in the center of the oven and preheat the oven to 400 degrees F (200 degrees C).', 'Whisk eggs, cream, smoked paprika, salt, and pepper together in a bowl. Set aside.', 'Melt butter in a 12-inch nonstick, oven-proof skillet over medium-high heat until bubbly. Add chopped onion and cook until softened, 1 to 2 minutes. Add chopped broccoli and cook, stirring occasionally, about 2 minutes. Add potatoes and cook, stirring occasionally, about 2 minutes. Lightly season vegetables with additional salt and pepper.', 'Gently pat the vegetables into an even layer with the back of a spatula or spoon and turn off the heat. Sprinkle cheese over the vegetables, followed by bacon.', 'Pour the egg mixture into the skillet and gently shake to eliminate any holes around the vegetables. Let the residual heat cook the eggs slightly, about 2 minutes.', 'Bake in the preheated oven for 8 to 10 minutes. Check for doneness by using a knife to cut the center slightly. Eggs should not be runny enough to fill the cut. Allow to cool in the skillet for 5 minutes before serving.']",https://www.allrecipes.com/recipes/1564/breakfast-and-brunch/eggs/frittata/,Broccoli-Cheddar Frittata,Frittata,5.0,2,15 mins,40 mins,8 servings,8,179,15g,6g,8g,23,10,8,0.0
